dataset,benchmark_name,model_id,release_date,p50_estimate,p50_ci_low,p50_ci_high,p80_estimate,p80_ci_low,p80_ci_high,average_score,is_sota,scaffolds
TH1.0,METR-Horizon-v1.0,gpt2,2019-02-14,0.053778,0.009994,0.141825,0.0128,0.001589,0.068612,0.101046,True,
TH1.0,METR-Horizon-v1.0,davinci_002,2020-05-28,0.144057,0.093319,0.221209,0.056238,0.034813,0.105813,0.161869,True,modular-public
TH1.0,METR-Horizon-v1.0,gpt_3_5_turbo_instruct,2022-03-15,0.599247,0.255148,1.115905,0.25538,0.141649,0.492933,0.214611,True,modular-public
TH1.0,METR-Horizon-v1.0,gpt_4,2023-03-14,6.024114,2.768122,11.721889,1.367526,0.495441,3.856515,0.361067,True,modular-public
TH1.0,METR-Horizon-v1.0,gpt_4_1106,2023-11-06,9.394536,4.468489,18.162454,2.01019,0.73874,5.666518,0.404329,True,modular-public
TH1.0,METR-Horizon-v1.0,gpt_4_0125,2024-01-25,6.346859,3.267886,11.553041,1.913986,0.854185,4.699039,0.351726,False,modular-public
TH1.0,METR-Horizon-v1.0,claude_3_opus,2024-03-04,7.148402,3.217769,14.764711,1.578216,0.585264,4.612595,0.377459,False,modular-public
TH1.0,METR-Horizon-v1.0,gpt_4_turbo,2024-04-09,7.777455,4.050277,14.21142,2.492662,1.084966,6.034151,0.367357,False,modular-public
TH1.0,METR-Horizon-v1.0,gpt_4o,2024-05-13,10.174857,5.000948,19.508766,2.374364,0.947346,5.947962,0.408517,True,modular-public
TH1.0,METR-Horizon-v1.0,qwen_2_72b,2024-06-07,2.536634,0.945777,5.937061,0.595157,0.185057,1.983832,0.298999,False,flock-public
TH1.0,METR-Horizon-v1.0,claude_3_5_sonnet,2024-06-20,19.764601,10.531997,35.808873,4.192071,1.818235,10.000262,0.481203,True,modular-public
TH1.0,METR-Horizon-v1.0,o1_preview,2024-09-12,23.254728,12.640748,39.370195,6.418505,2.800499,13.27718,0.492955,True,duet
TH1.0,METR-Horizon-v1.0,qwen_2_5_72b,2024-09-19,5.813798,2.563669,12.146289,1.325385,0.46914,3.916909,0.357771,False,flock-public
TH1.0,METR-Horizon-v1.0,claude_3_5_sonnet_20241022,2024-10-22,30.454555,14.72191,60.891717,5.907631,2.249329,15.195336,0.530535,True,modular-public
TH1.0,METR-Horizon-v1.0,o1_elicited,2024-12-05,41.551706,19.822684,85.806317,7.645697,2.557853,21.983284,0.56549,True,flock
TH1.0,METR-Horizon-v1.0,deepseek_v3,2024-12-26,19.822812,10.37305,35.001162,5.424593,2.208963,13.145861,0.474508,False,flock-public
TH1.0,METR-Horizon-v1.0,deepseek_r1,2025-01-20,27.887616,14.422102,52.750504,5.629461,2.344816,13.373897,0.520133,False,flock-public
TH1.0,METR-Horizon-v1.0,claude_3_7_sonnet,2025-02-24,55.258445,28.87097,89.187313,20.378794,7.749991,43.669897,0.605035,True,flock-public
TH1.0,METR-Horizon-v1.0,deepseek_v3_0324,2025-03-24,24.594348,12.569662,43.32637,7.452729,3.283517,15.876695,0.497576,False,flock-public
TH1.0,METR-Horizon-v1.0,o3,2025-04-16,91.443799,46.571206,158.036682,27.30067,9.243647,67.256198,0.658782,True,flock-secret
TH1.0,METR-Horizon-v1.0,o4-mini,2025-04-16,76.748308,37.053517,142.123876,20.147776,6.654501,52.779547,0.642837,False,flock-secret
TH1.0,METR-Horizon-v1.0,claude_4_opus,2025-05-22,83.567793,44.934856,140.617499,26.88671,9.151599,61.850971,0.648693,False,flock-public
TH1.0,METR-Horizon-v1.0,claude_4_sonnet,2025-05-22,73.660733,38.322944,127.091712,21.948674,7.941505,49.861238,0.632651,False,flock-public
TH1.0,METR-Horizon-v1.0,deepseek_r1_0528,2025-05-28,32.764282,13.756178,64.081849,4.671541,1.353217,15.485703,0.542232,False,flock-public
TH1.0,METR-Horizon-v1.0,gemini_2_5_pro_preview,2025-06-05,40.182282,20.357511,69.856777,12.565677,4.659581,27.288387,0.557925,False,flock-public
TH1.0,METR-Horizon-v1.0,grok_4,2025-07-09,104.84751,47.555449,208.297605,18.59131,4.757614,55.346662,0.667187,True,flock-public
TH1.0,METR-Horizon-v1.0,claude_4_1_opus,2025-08-05,109.263038,55.954932,200.80836,27.289864,8.357108,66.554968,0.677469,True,flock-public
TH1.0,METR-Horizon-v1.0,gpt-oss-120b,2025-08-05,45.110184,19.901035,85.537034,8.35222,2.416079,21.625724,0.574566,False,flock-public
TH1.0,METR-Horizon-v1.0,gpt_5,2025-08-07,130.816528,67.703931,247.820152,32.984347,9.79551,92.692214,0.698403,True,flock-secret
TH1.0,METR-Horizon-v1.0,claude_sonnet_4_5,2025-09-29,116.528413,58.936193,225.752849,26.095319,7.513898,73.824859,0.683012,False,flock-public
TH1.0,METR-Horizon-v1.0,kimi_k2_thinking,2025-11-06,57.621724,27.423314,100.591631,15.004943,4.37601,38.984235,0.60027,False,"flock-public|metr_tasks_swaa/init_solver,generate"
TH1.0,METR-Horizon-v1.0,gpt_5_1_codex_max,2025-11-19,162.253699,80.193214,336.504695,40.039035,10.315095,129.233087,0.721134,True,"flock-camel|metr_tasks_swaa/init_solver,generate"
TH1.0,METR-Horizon-v1.0,claude_opus_4_5,2025-11-24,246.781803,104.265659,821.560215,36.039286,9.313074,114.200812,0.753054,True,"flock-public|metr_tasks_swaa/init_solver,generate"
TH1.1,METR-Horizon-v1.0,gpt2,2019-02-14,0.053778,0.009994,0.141825,0.0128,0.001589,0.068612,0.101046,True,
TH1.1,METR-Horizon-v1.0,davinci_002,2020-05-28,0.144057,0.093319,0.221209,0.056238,0.034813,0.105813,0.161869,True,modular-public
TH1.1,METR-Horizon-v1.0,gpt_3_5_turbo_instruct,2022-03-15,0.599247,0.255148,1.115905,0.25538,0.141649,0.492933,0.214611,True,modular-public
TH1.1,METR-Horizon-v1.1,gpt_4,2023-03-14,3.987428,1.93292,7.995283,0.889561,0.342984,2.523746,0.293044,True,modular-public
TH1.1,METR-Horizon-v1.1,gpt_4_1106_inspect,2023-11-06,4.044959,1.866859,8.443226,0.783032,0.276599,2.358414,0.28905,True,"mtb/start_metr_task,metr_agents/react|ai_rd_fix_embedding/init_solver,use_tools,metr_agents/react|re_bench_common/init_solver,use_tools,metr_agents/react|metr_tasks_swaa/init_solver,generate|metr_agents/react"
